title,price_gbp,rating
Boar Island (Anna Pigeon #19),59.48,3
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),57.7,4
El Deafo,57.62,5
"Ajin: Demi-Human, Volume 1 (Ajin: Demi-Human #1)",57.06,4
"Giant Days, Vol. 1 (Giant Days #1-4)",56.76,4
The Past Never Ends,56.5,4
"The Sandman, Vol. 3: Dream Country (The Sandman (volumes) #3)",55.55,5
"The Sandman, Vol. 2: The Doll's House (The Sandman (volumes) #2)",54.81,1
I am a Hero Omnibus Volume 1,54.63,3
Murder at the 42nd Street Library (Raymond Ambler #1),54.36,4
