title,price_gbp,rating
The Third Wave: An Entrepreneurâs Vision of the Future,12.61,5
"In a Dark, Dark Wood",19.63,1
A Murder in Time,16.64,1
That Darkness (Gardiner and Renner #1),13.92,1
Tastes Like Fear (DI Marnie Rome #3),10.69,1
A Study in Scarlet (Sherlock Holmes #1),16.73,2
Hide Away (Eve Duncan #20),11.84,1
Playing with Fire,13.71,3
The Cuckoo's Calling (Cormoran Strike #1),19.21,1
The Girl You Lost,12.29,5
The Girl In The Ice (DCI Erika Foster #1),15.85,3
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,1
This One Summer,19.49,4
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,5
"Pop Gun War, Volume 1: Gift",18.97,1
Patience,10.16,3
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,4
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,2
Camp Midnight,17.08,4
Batman: The Dark Knight Returns (Batman),15.38,5
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),11.89,5
"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",10.9,2
Roller Girl,14.1,5
"Fruits Basket, Vol. 7 (Fruits Basket #7)",19.57,1
"Fruits Basket, Vol. 5 (Fruits Basket #5)",16.33,1
"The Wicked + The Divine, Vol. 3: Commercial Suicide (The Wicked + The Divine)",14.41,3
"Saga, Volume 2 (Saga (Collected Editions) #2)",11.75,3
"Fruits Basket, Vol. 2 (Fruits Basket #2)",11.64,5
"Y: The Last Man, Vol. 1: Unmanned (Y: The Last Man #1)",18.51,4
The Complete Maus (Maus #1-2),10.64,3
